LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DOB,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP
QMJHL,283542/kirk-forrest,F,2006,19.363889,21,0,1,1,0.050000,1,1,21,1,0,1987-05-04,DY+1,R,No,0.000000,0
QMJHL,283579/olivier-lajeunesse,F,2006,19.466667,53,2,0,2,0.040000,1,1,53,1,0,1987-03-27,DY+1,R,No,0.000000,0
USHL,283592/c.j.-walker,F,2018,19.397222,48,4,6,10,0.208333,1,1,48,0,0,1999-04-22,DY+1,R,No,0.000000,0
USHL,283592/c.j.-walker,F,2019,20.397222,4,0,1,1,0.250000,2,0,52,0,0,1999-04-22,DY+2,R,No,0.000000,0
WHL,283595/ty-gerla,F,2017,18.205556,43,5,6,11,0.255814,1,1,43,0,0,1999-07-01,DY,L,No,0.000000,0
WHL,283595/ty-gerla,F,2018,19.205556,59,3,15,18,0.305085,2,2,102,0,0,1999-07-01,DY+1,L,No,0.000000,0
QMJHL,28361/gregory-dupre,F,2001,21.138889,4,1,3,4,1.000000,1,0,4,1,0,1980-07-25,DY+3,L,No,0.000000,0
QMJHL,28367/mathieu-dumas,D,2000,17.319444,65,3,5,8,0.120000,1,1,65,0,1,1983-05-20,DY-1,L,No,0.000000,0
QMJHL,28367/mathieu-dumas,D,2001,18.319444,71,5,33,38,0.535211,2,2,136,0,1,1983-05-20,DY,L,No,0.000000,0
QMJHL,28367/mathieu-dumas,D,2002,19.319444,69,17,52,69,1.000000,3,3,205,0,1,1983-05-20,DY+1,L,No,0.000000,0
QMJHL,28367/mathieu-dumas,D,2003,20.319444,72,12,41,53,0.736111,4,4,277,0,1,1983-05-20,DY+2,L,No,0.000000,0
QMJHL,28367/mathieu-dumas,D,2004,21.319444,67,19,39,58,0.865672,5,5,344,0,1,1983-05-20,DY+3,L,No,0.000000,0
QMJHL,28369/pierre-luc-courchesne,D,1998,17.030556,57,6,14,20,0.350877,1,1,57,0,1,1981-09-04,DY-1,L,No,0.000000,0
QMJHL,28369/pierre-luc-courchesne,D,1999,18.030556,60,6,19,25,0.416667,2,2,117,0,1,1981-09-04,DY,L,No,0.000000,0
QMJHL,28369/pierre-luc-courchesne,D,2000,19.030556,72,13,38,51,0.708333,3,3,189,0,1,1981-09-04,DY+1,L,No,0.000000,0
QMJHL,28369/pierre-luc-courchesne,D,2001,20.030556,71,15,44,59,0.830986,4,4,260,0,1,1981-09-04,DY+2,L,No,0.000000,0
QMJHL,28369/pierre-luc-courchesne,D,2002,21.030556,63,9,41,50,0.793651,5,5,323,0,1,1981-09-04,DY+3,L,No,0.000000,0
QMJHL,283690/tyler-smith,D,2018,19.052778,55,0,4,4,0.070000,1,1,55,1,0,1999-08-26,DY+1,R,No,0.000000,0
QMJHL,28371/frederic-belanger,D,1996,17.486111,64,0,7,7,0.110000,1,1,64,0,1,1979-03-20,DY-1,L,No,0.000000,0
QMJHL,28371/frederic-belanger,D,1997,18.486111,63,3,10,13,0.206349,2,2,127,0,1,1979-03-20,DY,L,No,0.000000,0
QMJHL,28371/frederic-belanger,D,1998,19.486111,70,8,35,43,0.614286,3,3,197,0,1,1979-03-20,DY+1,L,No,0.000000,0
QMJHL,28371/frederic-belanger,D,1999,20.486111,54,6,41,47,0.870370,4,4,251,0,1,1979-03-20,DY+2,L,No,0.000000,0
QMJHL,28371/frederic-belanger,D,2000,21.486111,64,14,30,44,0.687500,5,5,315,0,1,1979-03-20,DY+3,L,No,0.000000,0
QMJHL,283718/jeremie-jacob,F,2019,18.377778,60,7,8,15,0.250000,1,1,60,1,0,2001-04-29,DY,R,No,0.000000,0
QMJHL,28372/david-chicoine,F,2000,18.633333,65,2,3,5,0.080000,1,1,65,0,1,1982-01-27,DY,L,No,0.000000,0
QMJHL,28372/david-chicoine,F,2001,19.633333,72,14,35,49,0.680556,2,2,137,0,1,1982-01-27,DY+1,L,No,0.000000,0
QMJHL,28372/david-chicoine,F,2002,20.633333,65,29,43,72,1.107692,3,3,202,0,1,1982-01-27,DY+2,L,No,0.000000,0
QMJHL,28372/david-chicoine,F,2003,21.633333,57,13,35,48,0.842105,4,4,259,0,1,1982-01-27,DY+3,L,No,0.000000,0
QMJHL,28376/marc-andre-roy,F,2002,18.883333,58,0,1,1,0.020000,1,1,58,0,0,1983-10-27,DY,L,Yes,0.000000,0
QMJHL,28376/marc-andre-roy,F,2003,19.883333,68,2,3,5,0.070000,2,2,126,0,0,1983-10-27,DY+1,L,Yes,0.000000,0
QMJHL,283797/derrick-rotondi,D,2006,18.908333,20,0,1,1,0.050000,1,1,20,1,0,1987-10-18,DY,L,No,0.000000,0
QMJHL,283798/lukasz-steciuk,D,2006,19.458333,11,0,1,1,0.090000,1,0,11,1,0,1987-03-30,DY+1,L,No,0.000000,0
WHL,28380/adam-lukacovic,D,2005,19.413889,48,3,6,9,0.190000,1,1,48,1,0,1986-04-16,DY+1,L,No,0.000000,0
QMJHL,283802/jason-caron,F,2006,18.711111,41,1,2,3,0.070000,1,1,41,1,0,1987-12-29,DY,L,No,0.000000,0
WHL,283832/riley-mckay,F,2017,18.522222,51,3,6,9,0.180000,1,1,51,0,1,1999-03-07,DY,L,No,0.000000,0
WHL,283832/riley-mckay,F,2018,19.522222,62,4,9,13,0.209677,2,2,113,0,1,1999-03-07,DY+1,L,No,0.000000,0
WHL,283832/riley-mckay,F,2019,20.522222,68,12,15,27,0.397059,3,3,181,0,1,1999-03-07,DY+2,L,No,0.000000,0
WHL,283837/koby-morrisseau,F,2017,16.908333,22,1,1,2,0.090000,1,1,22,0,0,2000-10-18,DY-2,L,No,0.000000,0
WHL,283837/koby-morrisseau,F,2018,17.908333,47,6,6,12,0.255319,2,2,69,0,0,2000-10-18,DY-1,L,No,0.000000,0
WHL,283837/koby-morrisseau,F,2019,18.908333,14,1,3,4,0.290000,3,0,83,0,0,2000-10-18,DY,L,No,0.000000,0
USHL,283842/tyler-jubenvill,D,2018,18.791667,58,5,14,19,0.327586,1,1,58,1,0,1999-11-30,DY,L,No,0.000000,0
WHL,283843/connor-dewar,F,2016,17.219444,72,11,7,18,0.250000,1,1,72,0,1,1999-06-26,DY-1,L,Yes,0.000000,0
WHL,283843/connor-dewar,F,2017,18.219444,71,14,16,30,0.422535,2,2,143,0,1,1999-06-26,DY,L,Yes,0.000000,0
WHL,283843/connor-dewar,F,2018,19.219444,68,38,30,68,1.000000,3,3,211,0,1,1999-06-26,DY+1,L,Yes,0.000000,0
WHL,283843/connor-dewar,F,2019,20.219444,59,36,45,81,1.372881,4,4,270,0,1,1999-06-26,DY+2,L,Yes,0.000000,0
USHL,283845/riese-gaber,F,2019,19.930556,61,22,28,50,0.819672,1,1,61,1,0,1999-10-10,DY+1,R,No,0.000000,0
WHL,283890/brennan-menell,D,2015,18.308333,57,2,19,21,0.368421,1,1,57,0,1,1997-05-24,DY,R,No,0.000000,0
WHL,283890/brennan-menell,D,2016,19.308333,69,7,46,53,0.768116,2,2,126,0,1,1997-05-24,DY+1,R,No,0.000000,0
WHL,283890/brennan-menell,D,2017,20.308333,70,12,59,71,1.014286,3,3,196,0,1,1997-05-24,DY+2,R,No,0.000000,0
USHL,283897/jon-russell,F,2019,21.625000,42,5,7,12,0.285714,1,1,42,1,0,1998-01-31,DY+3,R,No,0.000000,0
OHL,283898/luke-boka,F,2016,17.258333,58,3,1,4,0.070000,1,1,58,0,1,1999-06-12,DY-1,R,No,0.000000,0
OHL,283898/luke-boka,F,2017,18.258333,68,13,15,28,0.411765,2,2,126,0,1,1999-06-12,DY,R,No,0.000000,0
OHL,283898/luke-boka,F,2018,19.258333,64,15,25,40,0.625000,3,3,190,0,1,1999-06-12,DY+1,R,No,0.000000,0
OHL,283898/luke-boka,F,2019,20.258333,64,12,20,32,0.500000,4,4,254,0,1,1999-06-12,DY+2,R,No,0.000000,0
USHL,283906/garrett-hall,F,2016,19.458333,55,4,10,14,0.254545,1,1,55,0,0,1997-03-31,DY+1,R,No,0.000000,0
USHL,283906/garrett-hall,F,2017,20.458333,16,1,1,2,0.125000,2,0,71,0,0,1997-03-31,DY+2,R,No,0.000000,0
QMJHL,283907/kelly-klima,F,2016,19.277778,62,24,17,41,0.661290,1,1,62,0,1,1997-06-05,DY+1,R,No,0.000000,0
QMJHL,283907/kelly-klima,F,2017,20.277778,66,22,27,49,0.742424,2,2,128,0,1,1997-06-05,DY+2,R,No,0.000000,0
QMJHL,283907/kelly-klima,F,2018,21.277778,58,18,18,36,0.620690,3,3,186,0,1,1997-06-05,DY+3,R,No,0.000000,0
OHL,283908/kevin-klima,F,2015,18.277778,16,1,0,1,0.060000,1,0,16,0,1,1997-06-05,DY,L,No,0.000000,0
QMJHL,283908/kevin-klima,F,2016,19.277778,52,23,27,50,0.961538,2,1,68,0,1,1997-06-05,DY+1,L,No,0.000000,0
QMJHL,283908/kevin-klima,F,2017,20.277778,61,8,28,36,0.590164,3,2,129,0,1,1997-06-05,DY+2,L,No,0.000000,0
QMJHL,283908/kevin-klima,F,2018,21.277778,68,39,47,86,1.264706,4,3,197,0,1,1997-06-05,DY+3,L,No,0.000000,0
USHL,283909/luke-morgan,F,2016,19.047222,60,10,15,25,0.416667,1,1,60,1,0,1997-08-28,DY+1,R,No,0.000000,0
QMJHL,283914/brendan-bornstein,D,2017,19.144444,2,0,1,1,0.500000,1,0,2,1,0,1998-07-23,DY+1,R,No,0.000000,0
USHL,283915/jacob-pivonka,F,2017,17.547222,34,5,6,11,0.323529,1,1,34,0,0,2000-02-28,DY-1,L,Yes,0.000000,0
USHL,283915/jacob-pivonka,F,2018,18.547222,25,5,3,8,0.320000,2,2,59,0,0,2000-02-28,DY,L,Yes,0.000000,0
USHL,283916/jack-drury,F,2017,17.616667,44,4,8,12,0.272727,1,1,44,0,0,2000-02-03,DY-1,L,Yes,0.000000,0
USHL,283916/jack-drury,F,2018,18.616667,56,24,41,65,1.160714,2,2,100,0,0,2000-02-03,DY,L,Yes,0.000000,0
USHL,283917/philippe-lapointe,F,2018,18.541667,59,7,19,26,0.440678,1,1,59,0,0,2000-02-29,DY,R,No,0.000000,0
USHL,283917/philippe-lapointe,F,2019,19.541667,60,11,28,39,0.650000,2,2,119,0,0,2000-02-29,DY+1,R,No,0.000000,0
USHL,283918/spencer-stastney,D,2017,17.697222,34,1,4,5,0.147059,1,1,34,0,0,2000-01-04,DY-1,L,Yes,0.000000,0
USHL,283918/spencer-stastney,D,2018,18.697222,23,1,14,15,0.652174,2,2,57,0,0,2000-01-04,DY,L,Yes,0.000000,0
USHL,283919/zach-dubinsky,F,2018,18.502778,53,3,11,14,0.264151,1,1,53,0,0,2000-03-14,DY,L,No,0.000000,0
USHL,283919/zach-dubinsky,F,2019,19.502778,19,2,3,5,0.263158,2,0,72,0,0,2000-03-14,DY+1,L,No,0.000000,0
USHL,283920/brady-smith,D,2017,17.080556,32,2,2,4,0.125000,1,1,32,0,1,2000-08-16,DY-1,R,No,0.000000,0
USHL,283920/brady-smith,D,2018,18.080556,49,3,4,7,0.142857,2,2,81,0,1,2000-08-16,DY,R,No,0.000000,0
USHL,283920/brady-smith,D,2019,19.080556,56,4,9,13,0.232143,3,3,137,0,1,2000-08-16,DY+1,R,No,0.000000,0
USHL,283921/tyler-carpenter,F,2017,17.050000,3,1,0,1,0.333333,1,0,3,0,0,2000-08-27,DY-1,L,No,0.000000,0
USHL,283921/tyler-carpenter,F,2018,18.050000,59,7,6,13,0.220339,2,1,62,0,0,2000-08-27,DY,L,No,0.000000,0
USHL,283921/tyler-carpenter,F,2019,19.050000,62,11,13,24,0.387097,3,2,124,0,0,2000-08-27,DY+1,L,No,0.000000,0
USHL,283927/calvin-dybicz,D,2017,17.163889,5,0,1,1,0.200000,1,0,5,0,0,2000-07-16,DY-1,L,No,0.000000,0
USHL,283927/calvin-dybicz,D,2019,19.163889,57,1,7,8,0.140351,2,1,62,0,0,2000-07-16,DY+1,L,No,0.000000,0
USHL,283931/calen-kiefiuk,F,2017,17.547222,52,4,7,11,0.211538,1,1,52,0,1,2000-02-28,DY-1,L,No,0.000000,0
USHL,283931/calen-kiefiuk,F,2018,18.547222,60,18,28,46,0.766667,2,2,112,0,1,2000-02-28,DY,L,No,0.000000,0
USHL,283931/calen-kiefiuk,F,2019,19.547222,50,15,26,41,0.820000,3,3,162,0,1,2000-02-28,DY+1,L,No,0.000000,0
USHL,283932/bode-wilde,D,2017,17.641667,34,3,3,6,0.176471,1,1,34,0,1,2000-01-24,DY-1,R,Yes,0.000000,0
USHL,283932/bode-wilde,D,2018,18.641667,25,3,13,16,0.640000,2,2,59,0,1,2000-01-24,DY,R,Yes,0.000000,0
OHL,283932/bode-wilde,D,2019,19.641667,62,19,51,70,1.129032,3,3,121,0,1,2000-01-24,DY+1,R,Yes,0.000000,0
USHL,283933/max-ellis,F,2017,17.658333,49,5,11,16,0.326531,1,1,49,0,1,2000-01-18,DY-1,R,No,0.000000,0
USHL,283933/max-ellis,F,2018,18.658333,58,17,21,38,0.655172,2,2,107,0,1,2000-01-18,DY,R,No,0.000000,0
USHL,283933/max-ellis,F,2019,19.658333,57,13,19,32,0.561404,3,3,164,0,1,2000-01-18,DY+1,R,No,0.000000,0
USHL,283935/jeremy-davidson,F,2018,18.547222,60,13,17,30,0.500000,1,1,60,0,0,2000-02-28,DY,R,No,0.000000,0
USHL,283935/jeremy-davidson,F,2019,19.547222,63,24,19,43,0.682540,2,2,123,0,0,2000-02-28,DY+1,R,No,0.000000,0
USHL,283936/ryan-sullivan,F,2019,19.522222,62,10,21,31,0.500000,1,1,62,1,0,2000-03-07,DY+1,R,No,0.000000,0
USHL,283937/mathieu-de-st.-phalle,F,2018,18.569444,55,6,21,27,0.490909,1,1,55,0,0,2000-02-20,DY,R,No,0.000000,0
USHL,283937/mathieu-de-st.-phalle,F,2019,19.569444,60,13,38,51,0.850000,2,2,115,0,0,2000-02-20,DY+1,R,No,0.000000,0
USHL,283940/alec-regula,D,2017,17.108333,53,1,4,5,0.094340,1,1,53,0,1,2000-08-06,DY-1,R,Yes,0.000000,0
OHL,283940/alec-regula,D,2018,18.108333,67,7,18,25,0.373134,2,2,120,0,1,2000-08-06,DY,R,Yes,0.000000,0
OHL,283940/alec-regula,D,2019,19.108333,66,11,28,39,0.590909,3,3,186,0,1,2000-08-06,DY+1,R,Yes,0.000000,0
USHL,283950/zach-faremouth,F,2019,19.697222,60,7,3,10,0.166667,1,1,60,1,0,2000-01-04,DY+1,R,No,0.000000,0
OHL,283953/joseph-mack,F,2018,18.691667,51,6,5,11,0.215686,1,1,51,0,0,2000-01-06,DY,R,No,0.000000,0
OHL,283953/joseph-mack,F,2019,19.691667,67,11,10,21,0.313433,2,2,118,0,0,2000-01-06,DY+1,R,No,0.000000,0
USHL,283958/christian-krygier,D,2017,17.361111,50,2,3,5,0.100000,1,1,50,0,0,2000-05-05,DY-1,L,Yes,0.000000,0
USHL,283958/christian-krygier,D,2018,18.361111,48,0,8,8,0.166667,2,2,98,0,0,2000-05-05,DY,L,Yes,0.000000,0
USHL,283959/cole-krygier,D,2017,17.361111,37,3,3,6,0.162162,1,1,37,0,0,2000-05-05,DY-1,L,Yes,0.000000,0
USHL,283959/cole-krygier,D,2018,18.361111,58,3,14,17,0.293103,2,2,95,0,0,2000-05-05,DY,L,Yes,0.000000,0
USHL,283960/xan-gurney,D,2017,17.297222,1,0,1,1,1.000000,1,0,1,0,0,2000-05-28,DY-1,L,No,0.000000,0
USHL,283960/xan-gurney,D,2018,18.297222,40,1,2,3,0.075000,2,1,41,0,0,2000-05-28,DY,L,No,0.000000,0
USHL,283960/xan-gurney,D,2019,19.297222,48,2,9,11,0.229167,3,2,89,0,0,2000-05-28,DY+1,L,No,0.000000,0
USHL,283986/michael-ferrandino,D,2017,17.494444,47,0,9,9,0.191489,1,1,47,0,1,2000-03-17,DY-1,R,No,0.000000,0
USHL,283986/michael-ferrandino,D,2018,18.494444,58,0,14,14,0.241379,2,2,105,0,1,2000-03-17,DY,R,No,0.000000,0
USHL,283986/michael-ferrandino,D,2019,19.494444,59,1,8,9,0.152542,3,3,164,0,1,2000-03-17,DY+1,R,No,0.000000,0
OHL,284005/cole-coskey,F,2016,17.288889,54,4,7,11,0.203704,1,1,54,0,1,1999-06-01,DY-1,R,No,0.000000,0
OHL,284005/cole-coskey,F,2017,18.288889,66,10,21,31,0.469697,2,2,120,0,1,1999-06-01,DY,R,No,0.000000,0
OHL,284005/cole-coskey,F,2018,19.288889,68,27,23,50,0.735294,3,3,188,0,1,1999-06-01,DY+1,R,No,0.000000,0
OHL,284005/cole-coskey,F,2019,20.288889,52,31,32,63,1.211538,4,4,240,0,1,1999-06-01,DY+2,R,No,0.000000,0
USHL,284006/graham-lillibridge,D,2016,17.627778,47,1,11,12,0.255319,1,1,47,0,1,1999-01-29,DY-1,L,No,0.000000,0
USHL,284006/graham-lillibridge,D,2017,18.627778,59,4,24,28,0.474576,2,2,106,0,1,1999-01-29,DY,L,No,0.000000,0
USHL,284006/graham-lillibridge,D,2018,19.627778,56,4,41,45,0.803571,3,3,162,0,1,1999-01-29,DY+1,L,No,0.000000,0
USHL,284009/brian-silver,D,2018,17.858333,10,0,1,1,0.100000,1,0,10,0,0,2000-11-06,DY-1,R,No,0.000000,0
USHL,284009/brian-silver,D,2019,18.858333,62,6,8,14,0.225806,2,1,72,0,0,2000-11-06,DY,R,No,0.000000,0
USHL,284010/kamil-sadlocha,F,2017,18.425000,57,8,14,22,0.385965,1,1,57,0,0,1999-04-12,DY,R,No,0.000000,0
USHL,284010/kamil-sadlocha,F,2018,19.425000,57,16,21,37,0.649123,2,2,114,0,0,1999-04-12,DY+1,R,No,0.000000,0
USHL,284011/hunter-lellig,D,2017,18.602778,7,1,2,3,0.428571,1,0,7,0,0,1999-02-08,DY,R,No,0.000000,0
USHL,284011/hunter-lellig,D,2018,19.602778,53,4,7,11,0.207547,2,1,60,0,0,1999-02-08,DY+1,R,No,0.000000,0
USHL,284012/graham-slaggert,F,2016,17.441667,35,3,4,7,0.200000,1,1,35,0,1,1999-04-06,DY-1,L,No,0.000000,0
USHL,284012/graham-slaggert,F,2017,18.441667,26,4,8,12,0.461538,2,2,61,0,1,1999-04-06,DY,L,No,0.000000,0
USHL,284012/graham-slaggert,F,2018,19.441667,53,17,20,37,0.698113,3,3,114,0,1,1999-04-06,DY+1,L,No,0.000000,0
USHL,284015/nicholas-nardella,F,2017,18.600000,39,2,5,7,0.179487,1,1,39,0,0,1999-02-09,DY,R,No,0.000000,0
USHL,284015/nicholas-nardella,F,2018,19.600000,32,1,3,4,0.125000,2,2,71,0,0,1999-02-09,DY+1,R,No,0.000000,0
OHL,284018/brock-hill,D,2017,18.633333,47,0,2,2,0.040000,1,1,47,0,0,1999-01-27,DY,R,No,0.000000,0
OHL,284018/brock-hill,D,2018,19.633333,22,0,5,5,0.230000,2,2,69,0,0,1999-01-27,DY+1,R,No,0.000000,0
USHL,284027/jason-polin,F,2017,18.244444,60,8,5,13,0.216667,1,1,60,0,1,1999-06-17,DY,R,No,0.000000,0
USHL,284027/jason-polin,F,2018,19.244444,38,12,9,21,0.552632,2,2,98,0,1,1999-06-17,DY+1,R,No,0.000000,0
USHL,284027/jason-polin,F,2019,20.244444,59,30,20,50,0.847458,3,3,157,0,1,1999-06-17,DY+2,R,No,0.000000,0
QMJHL,28403/didier-bochatay,D,2001,18.697222,63,8,12,20,0.317460,1,1,63,0,1,1983-01-04,DY,L,No,0.000000,0
QMJHL,28403/didier-bochatay,D,2002,19.697222,69,8,19,27,0.391304,2,2,132,0,1,1983-01-04,DY+1,L,No,0.000000,0
QMJHL,28403/didier-bochatay,D,2003,20.697222,66,4,26,30,0.454545,3,3,198,0,1,1983-01-04,DY+2,L,No,0.000000,0
USHL,284030/ronnie-attard,D,2017,18.486111,46,3,2,5,0.108696,1,1,46,0,1,1999-03-20,DY,R,No,0.000000,0
USHL,284030/ronnie-attard,D,2018,19.486111,50,8,7,15,0.300000,2,2,96,0,1,1999-03-20,DY+1,R,No,0.000000,0
USHL,284030/ronnie-attard,D,2019,20.486111,48,30,34,64,1.333333,3,3,144,0,1,1999-03-20,DY+2,R,No,0.000000,0
USHL,284033/travis-mitchell,D,2017,17.805556,38,2,4,6,0.157895,1,1,38,0,1,1999-11-25,DY-1,L,No,0.000000,0
USHL,284033/travis-mitchell,D,2018,18.805556,56,4,10,14,0.250000,2,2,94,0,1,1999-11-25,DY,L,No,0.000000,0
USHL,284033/travis-mitchell,D,2019,19.805556,58,3,26,29,0.500000,3,3,152,0,1,1999-11-25,DY+1,L,No,0.000000,0
USHL,284070/chad-hillebrand,F,2019,20.647222,55,11,12,23,0.418182,1,1,55,1,0,1999-01-22,DY+2,L,No,0.000000,0
USHL,284078/scooter-brickey,D,2017,18.300000,56,7,14,21,0.375000,1,1,56,0,1,1999-05-27,DY,R,No,0.000000,0
USHL,284078/scooter-brickey,D,2018,19.300000,53,2,15,17,0.320755,2,2,109,0,1,1999-05-27,DY+1,R,No,0.000000,0
USHL,284078/scooter-brickey,D,2019,20.300000,62,8,21,29,0.467742,3,3,171,0,1,1999-05-27,DY+2,R,No,0.000000,0
WHL,284085/mark-rubinchik,D,2017,18.483333,63,0,23,23,0.365079,1,1,63,0,0,1999-03-21,DY,L,No,0.000000,0
WHL,284085/mark-rubinchik,D,2018,19.483333,67,4,19,23,0.343284,2,2,130,0,0,1999-03-21,DY+1,L,No,0.000000,0
OHL,284087/christopher-cameron,D,2017,18.294444,43,1,4,5,0.120000,1,1,43,0,1,1999-05-29,DY,R,No,0.000000,0
OHL,284087/christopher-cameron,D,2018,19.294444,63,2,9,11,0.174603,2,2,106,0,1,1999-05-29,DY+1,R,No,0.000000,0
OHL,284087/christopher-cameron,D,2019,20.294444,66,0,16,16,0.242424,3,3,172,0,1,1999-05-29,DY+2,R,No,0.000000,0
USHL,284090/jaden-shields,D,2019,19.708333,51,3,4,7,0.137255,1,1,51,1,0,1999-12-30,DY+1,R,No,0.000000,0
USHL,284094/blade-jenkins,F,2017,17.094444,34,1,4,5,0.147059,1,1,34,0,1,2000-08-11,DY-1,L,Yes,0.000000,0
OHL,284094/blade-jenkins,F,2018,18.094444,68,20,24,44,0.647059,2,2,102,0,1,2000-08-11,DY,L,Yes,0.000000,0
OHL,284094/blade-jenkins,F,2019,19.094444,67,23,36,59,0.880597,3,3,169,0,1,2000-08-11,DY+1,L,Yes,0.000000,0
OHL,284096/jack-studnicka,F,2016,17.575000,62,4,22,26,0.419355,1,1,62,0,1,1999-02-18,DY-1,R,Yes,0.000000,0
OHL,284096/jack-studnicka,F,2017,18.575000,64,18,34,52,0.812500,2,2,126,0,1,1999-02-18,DY,R,Yes,0.000000,0
OHL,284096/jack-studnicka,F,2018,19.575000,66,22,50,72,1.090909,3,3,192,0,1,1999-02-18,DY+1,R,Yes,0.000000,0
OHL,284096/jack-studnicka,F,2019,20.575000,60,36,47,83,1.383333,4,4,252,0,1,1999-02-18,DY+2,R,Yes,0.000000,0
USHL,284097/paul-cotter,F,2018,18.830556,51,18,21,39,0.764706,1,1,51,0,0,1999-11-16,DY,L,Yes,0.000000,0
OHL,284097/paul-cotter,F,2019,19.830556,48,9,17,26,0.541667,2,2,99,0,0,1999-11-16,DY+1,L,Yes,0.000000,0
USHL,284098/benji-eckerle,F,2019,19.975000,53,6,11,17,0.320755,1,1,53,1,0,1999-09-24,DY+1,L,No,0.000000,0
USHL,284101/matt-stoia,D,2018,19.475000,20,1,2,3,0.150000,1,1,20,1,0,1999-03-24,DY+1,R,No,0.000000,0
USHL,284112/thomas-farrell,D,2019,20.658333,58,3,7,10,0.172414,1,1,58,1,0,1999-01-18,DY+2,R,No,0.000000,0
USHL,284120/steve-holtz,D,2018,19.452778,30,1,5,6,0.200000,1,1,30,0,0,1999-04-02,DY+1,R,No,0.000000,0
USHL,284120/steve-holtz,D,2019,20.452778,28,1,5,6,0.214286,2,2,58,0,0,1999-04-02,DY+2,R,No,0.000000,0
USHL,284125/chase-pilawski,D,2017,18.450000,55,3,10,13,0.236364,1,1,55,0,0,1999-04-03,DY,L,No,0.000000,0
USHL,284125/chase-pilawski,D,2019,20.450000,58,3,16,19,0.327586,2,2,113,0,0,1999-04-03,DY+2,L,No,0.000000,0
QMJHL,28419/marek-hascak,F,2003,17.769444,53,1,9,10,0.188679,1,1,53,0,0,1985-12-08,DY-1,L,No,0.000000,0
QMJHL,28419/marek-hascak,F,2004,18.769444,61,16,14,30,0.491803,2,2,114,0,0,1985-12-08,DY,L,No,0.000000,0
USHL,284191/jaxon-nelson,F,2017,17.458333,54,7,11,18,0.333333,1,1,54,0,1,2000-03-30,DY-1,R,No,0.000000,0
USHL,284191/jaxon-nelson,F,2018,18.458333,58,8,9,17,0.293103,2,2,112,0,1,2000-03-30,DY,R,No,0.000000,0
USHL,284191/jaxon-nelson,F,2019,19.458333,52,19,21,40,0.769231,3,3,164,0,1,2000-03-30,DY+1,R,No,0.000000,0
QMJHL,28421/gabriel-bourque,F,2008,17.977778,65,10,18,28,0.430769,1,1,65,0,1,1990-09-23,DY-1,L,Yes,0.268698,361
QMJHL,28421/gabriel-bourque,F,2009,18.977778,60,22,39,61,1.016667,2,2,125,0,1,1990-09-23,DY,L,Yes,0.268698,361
QMJHL,28421/gabriel-bourque,F,2010,19.977778,55,16,36,52,0.945455,3,3,180,0,1,1990-09-23,DY+1,L,Yes,0.268698,361
WHL,28422/linden-vey,F,2008,17.161111,48,8,9,17,0.354167,1,1,48,0,1,1991-07-17,DY-1,R,Yes,0.318841,138
WHL,28422/linden-vey,F,2009,18.161111,71,24,48,72,1.014085,2,2,119,0,1,1991-07-17,DY,R,Yes,0.318841,138
WHL,28422/linden-vey,F,2010,19.161111,72,24,51,75,1.041667,3,3,191,0,1,1991-07-17,DY+1,R,Yes,0.318841,138
WHL,28422/linden-vey,F,2011,20.161111,69,46,70,116,1.681159,4,4,260,0,1,1991-07-17,DY+2,R,Yes,0.318841,138
QMJHL,284433/ryan-chipman,F,2003,18.583333,13,0,1,1,0.080000,1,0,13,1,0,1985-02-15,DY,R,No,0.000000,0
QMJHL,284465/daniel-gauthier,D,2003,20.511111,30,1,2,3,0.100000,1,1,30,1,0,1983-03-11,DY+2,-,No,0.000000,0
QMJHL,284760/vincent-tougas,F,2000,18.488889,72,16,6,22,0.305556,1,1,72,0,1,1982-03-19,DY,L,No,0.000000,0
QMJHL,284760/vincent-tougas,F,2001,19.488889,57,30,28,58,1.017544,2,2,129,0,1,1982-03-19,DY+1,L,No,0.000000,0
QMJHL,284760/vincent-tougas,F,2002,20.488889,67,18,34,52,0.776119,3,3,196,0,1,1982-03-19,DY+2,L,No,0.000000,0
QMJHL,284760/vincent-tougas,F,2003,21.488889,23,9,5,14,0.608696,4,4,219,0,1,1982-03-19,DY+3,L,No,0.000000,0
QMJHL,284773/dominic-fiset,F,2002,19.433333,41,1,1,2,0.050000,1,1,41,0,0,1983-04-09,DY+1,L,No,0.000000,0
QMJHL,284773/dominic-fiset,F,2003,20.433333,58,2,7,9,0.160000,2,2,99,0,0,1983-04-09,DY+2,L,No,0.000000,0
QMJHL,284777/kevin-duchaine,F,2003,18.269444,65,3,5,8,0.120000,1,1,65,1,0,1985-06-08,DY,R,No,0.000000,0
QMJHL,284791/remi-godbout,F,2002,18.216667,8,1,1,2,0.250000,1,0,8,0,0,1984-06-27,DY,R,No,0.000000,0
QMJHL,284791/remi-godbout,F,2003,19.216667,24,3,1,4,0.170000,2,1,32,0,0,1984-06-27,DY+1,R,No,0.000000,0
